,Scores,Alive_Duration,Epsilon_Discount,Learning_Rate,Discount_Rate
586,1,1350,0.9992,0.001,0.95
587,2,1350,0.9992,0.001,0.95
588,2,1350,0.9992,0.001,0.95
589,1,1350,0.9992,0.001,0.95
590,0,1350,0.9992,0.001,0.95
591,2,1350,0.9992,0.001,0.95
592,4,1350,0.9992,0.001,0.95
593,1,1350,0.9992,0.001,0.95
594,5,1350,0.9992,0.001,0.95
595,4,1350,0.9992,0.001,0.95
596,4,1350,0.9992,0.001,0.95
597,2,1350,0.9992,0.001,0.95
598,2,1350,0.9992,0.001,0.95
599,1,1350,0.9992,0.001,0.95
600,1,1350,0.9992,0.001,0.95
601,3,1350,0.9992,0.001,0.95
602,3,1350,0.9992,0.001,0.95
603,2,1350,0.9992,0.001,0.95
604,2,1350,0.9992,0.001,0.95
605,3,1350,0.9992,0.001,0.95
606,0,1350,0.9992,0.001,0.95
607,3,1350,0.9992,0.001,0.95
608,0,1350,0.9992,0.001,0.95
609,3,1350,0.9992,0.001,0.95
610,0,1350,0.9992,0.001,0.95
611,3,1350,0.9992,0.001,0.95
612,4,1350,0.9992,0.001,0.95
613,1,1350,0.9992,0.001,0.95
614,0,1350,0.9992,0.001,0.95
615,2,1350,0.9992,0.001,0.95
616,6,1350,0.9992,0.001,0.95
617,2,1350,0.9992,0.001,0.95
618,1,1350,0.9992,0.001,0.95
619,1,1350,0.9992,0.001,0.95
620,2,1350,0.9992,0.001,0.95
621,2,1350,0.9992,0.001,0.95
622,1,1350,0.9992,0.001,0.95
623,4,1350,0.9992,0.001,0.95
624,0,1350,0.9992,0.001,0.95
625,1,1350,0.9992,0.001,0.95
626,3,1350,0.9992,0.001,0.95
627,1,1350,0.9992,0.001,0.95
628,2,1350,0.9992,0.001,0.95
629,0,1350,0.9992,0.001,0.95
630,4,1350,0.9992,0.001,0.95
631,4,1350,0.9992,0.001,0.95
632,1,1350,0.9992,0.001,0.95
633,3,1350,0.9992,0.001,0.95
634,1,1350,0.9992,0.001,0.95
635,2,1350,0.9992,0.001,0.95
636,4,1350,0.9992,0.001,0.95
637,0,1350,0.9992,0.001,0.95
638,4,1350,0.9992,0.001,0.95
639,0,1350,0.9992,0.001,0.95
640,0,1350,0.9992,0.001,0.95
641,0,1350,0.9992,0.001,0.95
642,2,1350,0.9992,0.001,0.95
643,1,1350,0.9992,0.001,0.95
644,1,1350,0.9992,0.001,0.95
645,2,1350,0.9992,0.001,0.95
646,0,1350,0.9992,0.001,0.95
647,1,1350,0.9992,0.001,0.95
648,2,1350,0.9992,0.001,0.95
649,1,1350,0.9992,0.001,0.95
650,4,1350,0.9992,0.001,0.95
651,0,1350,0.9992,0.001,0.95
652,1,1350,0.9992,0.001,0.95
653,0,1350,0.9992,0.001,0.95
654,3,1350,0.9992,0.001,0.95
655,4,1350,0.9992,0.001,0.95
656,0,1350,0.9992,0.001,0.95
657,3,1350,0.9992,0.001,0.95
658,2,1350,0.9992,0.001,0.95
659,3,1350,0.9992,0.001,0.95
660,1,1350,0.9992,0.001,0.95
661,1,1350,0.9992,0.001,0.95
662,1,1350,0.9992,0.001,0.95
663,0,1350,0.9992,0.001,0.95
664,2,1350,0.9992,0.001,0.95
665,1,1350,0.9992,0.001,0.95
666,4,1350,0.9992,0.001,0.95
667,4,1350,0.9992,0.001,0.95
668,1,1350,0.9992,0.001,0.95
669,2,1350,0.9992,0.001,0.95
670,0,1350,0.9992,0.001,0.95
